Year,Total suicides,"Total deaths per 100,000",Males suicides,"Males deaths per 100,000",Female suicides,"Females deaths per 100,000"
2002,31655,10.9,25409,18.5,6246,4.2
2003,"31,484",10.8,25203,18.1,6281,4.2
2004,32439,11,25566,18.1,6873,4.5
2005,"32,637",10.9,25907,18.1,6730,4.4
2006,"33,300",11,"26,308",18.1,"6,992",4.5
2007,"34,598",11.3,"27,269",18.5,"7,329",4.6
2008,"36,035",11.6,"28,450",19,"7,585",4.8
2009,"36,909",11.8,"29,089",19.2,"7,820",4.9
2010,"38,364",12.1,"30,277",19.8,"8,087",5
2011,"39,518",12.3,"31,003",20,"8,515",5.2
2012,"40,600",12.6,"31,780",20.4,"8,820",5.4
2013,"41,149",12.6,"32,055",20.3,"9,094",5.5
2014,"42,826",13,"33,162",20.7,"9,664",5.8
2015,"44,193",13.3,"33,994",21.1,"10,199",6
2016,"44,965",13.5,"34,727",21.4,"10,238",6
2017,"47,173",14,"36,782",22.4,"10,391",6.1
